projeto;arquivo;tipo;membro;loc;cc;aninhamento;parametros;halstead_volume;maintainability_index
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;Instance (prop);1;1;0;0;18.1;91.1
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;Awake;16;3;2;0;233.8;56.7
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;OnEnable;4;1;0;0;24;77.1
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;OnDisable;4;1;0;0;24;77.1
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;ConfigureAudioSource;10;2;1;0;191.8;61.9
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;LoadDefaultClipsIfNeeded;18;4;2;0;240.8;55.4
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;HandleSceneLoaded;19;7;1;2;304.2;53.8
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;PrepareMenuMusicSilently;21;4;3;0;303.1;53.2
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;StartMenuMusicFromLoading;24;7;3;2;569.4;49.7
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;PlaySceneMusic;13;5;2;2;191.8;59
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;StopMusic;15;4;2;1;229.2;57.3
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;FadeTo;7;3;1;2;188;65.2
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;CrossFadeTo;10;4;1;2;165.1;62.1
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;FadeRoutine;24;5;2;3;539.1;50.1
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;FadeOutAndStop;17;2;2;1;368;54.9
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;CrossFadeRoutine;33;3;2;2;824.5;46.1
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;StopCurrentFade;8;2;2;0;65.7;67.3
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;EnableMusic;8;3;1;0;125.3;65.2
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;DisableMusic;6;1;0;0;51.9;70.9
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;ToggleMusic;5;2;1;0;49.8;72.6
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;IsMusicEnabled;4;1;0;0;11.6;79.3
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;SetVolume;7;3;1;1;110.4;66.9
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;LoadPreferences;4;1;0;0;57.1;74.4
2D pre-MVP (1226b59);Core\Audio\MusicManager.cs;MusicManager;SavePreferences;5;2;0;0;84;71
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;Instance (prop);1;1;0;0;18.1;91.1
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;IsSfxEnabled;1;1;0;0;2;97.8
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;Awake;18;3;2;0;233.8;55.6
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;ConfigureAudioSource;9;2;1;0;162.5;63.4
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;LoadDefaultClipsIfNeeded;13;10;1;0;827.3;53.9
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;EnableSfx;5;1;0;0;31.7;74.1
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;DisableSfx;5;1;0;0;31.7;74.1
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;ToggleSfx;5;2;1;0;49.8;72.6
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;SetVolume;6;2;1;1;89.9;69.1
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;Play;21;4;2;2;239.7;54
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;PlayButtonClick;9;2;2;0;66.6;66.1
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;PlayTreeClick;1;1;0;0;19.7;90.8
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;PlayHistoryClick;1;1;0;0;19.7;90.8
2D pre-MVP (1226b59);Core\Audio\SfxManager.cs;SfxManager;PlayMix;1;1;0;0;19.7;90.8
